"user_id";"content_id";"rating";"bookmarked";"timespent";"total_selection"
"20";"61";NULL;NULL;"24";"1"
"30";"61";"9";NULL;"67";"1"
"32";"57";NULL;NULL;"22";"1"
"30";"60";NULL;NULL;"44";"1"
"50";"60";"10";NULL;"11";"3"
"50";"52";NULL;NULL;"11";"1"
"24";"61";NULL;NULL;"30";"2"
"36";"57";"10";NULL;"223";"4"
"38";"61";"6";NULL;"116";"2"
"46";"61";"3";NULL;"128";"1"
"19";"42";NULL;NULL;"56";"1"
"21";"51";"5";NULL;"205";"1"
"37";"37";NULL;NULL;"7";"1"
"22";"61";"10";"1";"522";"2"
"29";"60";"9";NULL;"221";"5"
"24";"41";NULL;NULL;"25";"1"
"47";"61";"10";NULL;"112";"2"
"19";"61";"10";NULL;"52";"3"
"30";"57";"10";NULL;"403";"2"
"62";"37";NULL;NULL;"11";"1"
"20";"53";"7";NULL;"237";"1"
"23";"36";NULL;NULL;"163";"3"
"46";"60";NULL;NULL;"167";"1"
"67";"61";NULL;NULL;"92";"5"
"32";"61";"10";NULL;"189";"1"
"19";"37";"7";NULL;"81";"2"
"22";"60";"10";"1";"96";"2"
"50";"61";"10";NULL;"530";"3"
"53";"59";"10";NULL;"401";"2"
"26";"36";"10";"1";"232";"4"
"36";"56";"10";NULL;"642";"2"
"42";"61";"9";"1";"312";"4"
"30";"58";NULL;NULL;"14";"1"
"33";"59";"10";NULL;"9";"2"
"20";"57";"10";NULL;"5";"1"
"39";"60";"10";NULL;"276";"2"
"29";"57";"9";NULL;"99";"2"
"20";"56";"10";NULL;"38";"1"
"60";"59";"8";"1";"352";"2"
"22";"59";"10";NULL;"149";"2"
"68";"58";"10";NULL;"61";"1"
"61";"59";"10";NULL;"70";"4"
"66";"56";"10";"1";"35";"3"
"19";"33";"10";NULL;"225";"3"
"20";"55";"10";NULL;"4";"1"
"22";"58";"10";"1";"41";"2"
"66";"61";"10";"1";"9";"3"
"29";"56";"9";NULL;"73";"2"
"32";"49";"10";NULL;"17";"2"
"33";"60";NULL;NULL;"66";"2"
"38";"53";NULL;NULL;"37";"1"
"22";"57";"10";"1";"114";"4"
"66";"60";"10";"1";"6";"1"
"72";"61";"10";NULL;"484";"5"
"23";"38";NULL;"1";"146";"1"
"73";"36";NULL;NULL;"292";"2"
"19";"59";"10";NULL;"55";"2"
"68";"52";"2";NULL;"168";"1"
"23";"41";NULL;NULL;"24";"1"
"76";"61";NULL;NULL;"2";"2"
"23";"39";NULL;NULL;"2";"1"
"78";"60";"10";NULL;"22";"1"
"75";"35";NULL;NULL;"384";"1"
"66";"59";"10";"1";"13";"1"
"23";"47";"10";"1";"2";"1"
"23";"46";"10";NULL;"8";"1"
"53";"57";"10";NULL;"95";"2"
"23";"44";"10";NULL;"9";"1"
